brand,product,prop_deep_shades,shade_description,shade_hex,shade_lightness,shade_placement
Almay,Clear Complexion Make Myself Clear Makeup,0.125,Cappuccino 900,#904D28,0.36078431372549,1
Almay,Clear Complexion Make Myself Clear Makeup,0.125,Warm Beige 700,#CA917B,0.637254901960784,2
Almay,Clear Complexion Make Myself Clear Makeup,0.125,Sand Beige 600,#D4977B,0.656862745098039,3
Almay,Clear Complexion Make Myself Clear Makeup,0.125,Beige 500,#CE9782,0.658823529411765,4
Almay,Clear Complexion Make Myself Clear Makeup,0.125,Neutral 400,#CF9D82,0.66078431372549,5
Almay,Clear Complexion Make Myself Clear Makeup,0.125,Naked 300,#CEA48B,0.676470588235294,6
Almay,Clear Complexion Make Myself Clear Makeup,0.125,Buff 200,#E7B692,0.73921568627451,7
Almay,Clear Complexion Make Myself Clear Makeup,0.125,Ivory 100  selected,#EAC0A0,0.772549019607843,8
Almay,Skin Perfecting Healthy Biome Makeup,0,150 Tan,#D49D62,0.607843137254902,1
Almay,Skin Perfecting Healthy Biome Makeup,0,130 Medium,#C79F82,0.645098039215686,2
Almay,Skin Perfecting Healthy Biome Makeup,0,140 Golden,#D7A173,0.647058823529412,3
Almay,Skin Perfecting Healthy Biome Makeup,0,110 Light,#D8B07C,0.666666666666667,4
Almay,Skin Perfecting Healthy Biome Makeup,0,120 Beige,#D9A881,0.67843137254902,5
Almay,Skin Perfecting Healthy Biome Makeup,0,100 Fair  selected,#DFB691,0.72156862745098,6
Almay,Smart Shade Skintone Matching Makeup,0,Make Mine Dark 600,#BA8565,0.562745098039216,1
Almay,Smart Shade Skintone Matching Makeup,0,Deep Like Me 500,#C79270,0.609803921568628,2
Almay,Smart Shade Skintone Matching Makeup,0,Medium,#D2A28C,0.686274509803922,3
Almay,Smart Shade Skintone Matching Makeup,0,Medium Meets Deep 400  selected,#DDA785,0.694117647058824,4
Almay,Smart Shade Skintone Matching Makeup,0,Light/Medium,#F5CCB9,0.843137254901961,5
Almay,Smart Shade Skintone Matching Makeup,0,Light,#EFE1D2,0.880392156862745,6
AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,0,208 Medium Yellow amber tan with peachy/ warm undertones,#D19B79,0.647058823529412,1
AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,0,204 Light/Medium Yellow light to medium skin with golden undertones,#D5A988,0.684313725490196,2
AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,0,106 Medium Pink tan beige with neutral to peachy undertones,#D8AA8E,0.701960784313725,3
AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,0,104 Light/Medium Pink light beige for neutral to cool skintones - Selected,#DDB498,0.731372549019608,4
AMOREPACIFIC,Color Control Cushion Compact Broad Spectrum SPF 50+,0,102 Light Pink ivory for neutral to cool skintones,#E3BEAC,0.782352941176471,5
Anastasia Beverly Hills,Luminous Foundation,0.5,590C (very deep skin with a cool undertone),#3E2822,0.188235294117647,1
Anastasia Beverly Hills,Luminous Foundation,0.5,580W (very deep skin with a warm red undertone),#422922,0.196078431372549,2
Anastasia Beverly Hills,Luminous Foundation,0.5,570N (deep skin with a neutral red undertone),#452A21,0.2,3
Anastasia Beverly Hills,Luminous Foundation,0.5,520W (deep skin with a red olive undertone),#4F2E1E,0.213725490196078,4
Anastasia Beverly Hills,Luminous Foundation,0.5,560W (deep skin with a warm beige undertone),#4A2D23,0.213725490196078,5
Anastasia Beverly Hills,Luminous Foundation,0.5,550W (deep skin with a neutral undertone),#4E2F22,0.219607843137255,6
Anastasia Beverly Hills,Luminous Foundation,0.5,510W (deep skin with a warm undertone),#533020,0.225490196078431,7
Anastasia Beverly Hills,Luminous Foundation,0.5,540W (deep skin with a warm red undertone),#552E21,0.231372549019608,8
Anastasia Beverly Hills,Luminous Foundation,0.5,530N (deep skin with a neutral pink undertone),#5E331F,0.245098039215686,9
Anastasia Beverly Hills,Luminous Foundation,0.5,500C (deep skin with a cool pink undertone),#613920,0.252941176470588,10
Anastasia Beverly Hills,Luminous Foundation,0.5,490W (tan skin with a red undertone),#673C1F,0.262745098039216,11
Anastasia Beverly Hills,Luminous Foundation,0.5,480C (tan skin with an olive undertone),#683F21,0.268627450980392,12
